Time,CompletionTime,SpatialError,AZIndex,IIndex,distance,boxSize,Action
14.24598,0,0,1,0,2,4,0.611,0.51,0.6418857,0.126
16.26724,1106.705,0.255,1,0,2,4,
18.05396,1040.035,2.034,2,0,3,5,
19.82736,746.692,0,2,4,1,3,
21.92077,1280.044,0.838,1,6,4,3,
30.74441,0,0,2,0,4,3,0.768,0.03,0.02837143,0.627
34.09453,2240.079,0.187,2,0,4,3,
35.97459,746.692,0.222,1,5,1,3,
38.9347,1586.724,0,1,2,3,5,
40.80143,906.699,0,0,7,2,4,
48.78802,0,0,2,2,4,3,0.392,0.474,0.8695428,0.01600001
52.54851,1600.055,24.372,2,2,4,3,
54.37524,813.362,0,1,7,1,3,
56.14863,1053.366,0,0,2,2,4,
58.18871,1280.045,0,0,5,3,5,
66.13464,0,0,0,5,3,5,0.843,0.75,0.1519429,0.427
68.4824,1453.383,7.381,0,5,3,5,
70.73581,1386.708,0.275,0,1,2,4,
73.85592,1560.052,0.203,2,5,4,3,
75.86932,893.363,0,2,3,1,3,
77.78728,0,0,0,4,1,3,0.903,0.69,0.7951429,0.78
79.40278,786.693,0,0,4,1,3,
81.38952,1306.714,0,0,1,2,4,
83.61626,1533.389,7.939,0,6,4,3,
86.96304,1386.707,0.559,1,3,3,5,